H_B,H_G,H_R,H_total,Lavg_B,Lavg_G,Lavg_R,Lavg_total,channels,eta_B,eta_G,eta_R,file_bytes,height,image,method,mode,pixels,psnr_db,ratio_bits_over_raw,width
1.6924274333309302,1.6924274333309302,1.6924274333309302,5.07728229999279,1.7138252258300781,1.7138252258300781,1.7138252258300781,5.141475677490234,RGB,0.9875146005691542,0.9875146005691542,0.9875146005691542,169459,512,gray_blocks.png,huffman,RGB,262144,inf,0.21422815322875977,512
1.6924274333309302,1.6924274333309302,1.6924274333309302,5.07728229999279,2.013629913330078,2.013629913330078,2.013629913330078,6.040889739990234,RGB,0.8404858420741509,0.8404858420741509,0.8404858420741509,198934,512,gray_blocks.png,shannon,RGB,262144,inf,0.25170373916625977,512
1.6924274333309302,1.6924274333309302,1.6924274333309302,5.07728229999279,3.013629913330078,3.013629913330078,3.013629913330078,9.040889739990234,RGB,0.5615909988963403,0.5615909988963403,0.5615909988963403,297246,512,gray_blocks.png,sfe,RGB,262144,inf,0.37670373916625977,512
1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,RGB,1.0,1.0,1.0,99025,512,gray_checkerboard.png,huffman,RGB,262144,inf,0.125,512
1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,RGB,1.0,1.0,1.0,99025,512,gray_checkerboard.png,shannon,RGB,262144,inf,0.125,512
1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,RGB,0.5,0.5,0.5,197331,512,gray_checkerboard.png,sfe,RGB,262144,inf,0.25,512
1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,RGB,1.0,1.0,1.0,6859,128,gray_checkerboard_128.png,huffman,RGB,16384,inf,0.125,128
1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,RGB,1.0,1.0,1.0,6859,128,gray_checkerboard_128.png,shannon,RGB,16384,inf,0.125,128
1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,RGB,0.5,0.5,0.5,13004,128,gray_checkerboard_128.png,sfe,RGB,16384,inf,0.25,128
7.998525610347337,7.998525610347337,7.998525610347337,23.995576831042012,8.0,8.0,8.0,24.0,RGB,0.9998157012934171,0.9998157012934171,0.9998157012934171,801454,512,gray_gradient.png,huffman,RGB,262144,inf,1.0,512
7.998525610347337,7.998525610347337,7.998525610347337,23.995576831042012,8.001953125,8.001953125,8.001953125,24.005859375,RGB,0.9995716652423325,0.9995716652423325,0.9995716652423325,801692,512,gray_gradient.png,shannon,RGB,262144,inf,1.000244140625,512
7.998525610347337,7.998525610347337,7.998525610347337,23.995576831042012,9.001953125,9.001953125,9.001953125,27.005859375,RGB,0.8885322439787018,0.8885322439787018,0.8885322439787018,900760,512,gray_gradient.png,sfe,RGB,262144,inf,1.125244140625,512
7.999317781731773,7.999317781731773,7.999317781731773,23.99795334519532,8.0,8.0,8.0,24.0,RGB,0.9999147227164716,0.9999147227164716,0.9999147227164716,801453,512,gray_noise_uniform.png,huffman,RGB,262144,inf,1.0,512
7.999317781731773,7.999317781731773,7.999317781731773,23.99795334519532,8.483531951904297,8.483531951904297,8.483531951904297,25.45059585571289,RGB,0.9429230451517505,0.9429230451517505,0.9429230451517505,849438,512,gray_noise_uniform.png,shannon,RGB,262144,inf,1.060441493988037,512
7.999317781731773,7.999317781731773,7.999317781731773,23.99795334519532,9.483531951904297,9.483531951904297,9.483531951904297,28.45059585571289,RGB,0.8434956324605947,0.8434956324605947,0.8434956324605947,948506,512,gray_noise_uniform.png,sfe,RGB,262144,inf,1.185441493988037,512
7.999284238166583,7.999379334017616,7.999362970880618,23.998026543064817,8.0,8.0,8.0,24.0,RGB,0.9999105297708228,0.999922416752202,0.9999203713600773,801453,512,rgb_noise_uniform.png,huffman,RGB,262144,inf,1.0,512
7.999284238166583,7.999379334017616,7.999362970880618,23.998026543064817,8.494697570800781,8.468608856201172,8.50350570678711,25.466812133789062,RGB,0.9416796974224125,0.9445919004937912,0.9407135417685312,849974,512,rgb_noise_uniform.png,shannon,RGB,262144,inf,1.061117172241211,512
7.999284238166583,7.999379334017616,7.999362970880618,23.998026543064817,9.494697570800781,9.468608856201172,9.50350570678711,28.466812133789062,RGB,0.8425001616446351,0.8448315328580365,0.8417275916578575,949042,512,rgb_noise_uniform.png,sfe,RGB,262144,inf,1.186117172241211,512
0.8112781244591328,1.0,1.0,2.811278124459133,1.0,1.0,1.0,3.0,RGB,0.8112781244591328,1.0,1.0,99069,512,rgb_quadrants.png,huffman,RGB,262144,inf,0.125,512
0.8112781244591328,1.0,1.0,2.811278124459133,1.25,1.0,1.0,3.25,RGB,0.6490224995673063,1.0,1.0,107278,512,rgb_quadrants.png,shannon,RGB,262144,inf,0.13541666666666666,512
0.8112781244591328,1.0,1.0,2.811278124459133,2.25,2.0,2.0,6.25,RGB,0.36056805531517017,0.5,0.5,205585,512,rgb_quadrants.png,sfe,RGB,262144,inf,0.2604166666666667,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,6.842044830322266,7.996879577636719,6.799598693847656,21.63852310180664,RGB,0.9951973012405732,0.9960112982076837,0.9954181767916238,724583,512,rgb_radial_gradient.png,huffman,RGB,262144,inf,0.9016051292419434,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,7.338367462158203,8.514411926269531,7.307399749755859,23.160179138183594,RGB,0.9278881965528015,0.9354706442095063,0.9262452262818487,774797,512,rgb_radial_gradient.png,shannon,RGB,262144,inf,0.965007464090983,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,8.338367462158203,9.514411926269531,8.30739974975586,26.160179138183594,RGB,0.8166088363226591,0.8371492081124788,0.8147488189602834,873865,512,rgb_radial_gradient.png,sfe,RGB,262144,inf,1.0900074640909831,512
0.9971803988942642,1.0,1.0,2.9971803988942645,1.0,1.0,1.0,3.0,RGB,0.9971803988942642,1.0,1.0,99070,512,rgb_stripes.png,huffman,RGB,262144,inf,0.125,512
0.9971803988942642,1.0,1.0,2.9971803988942645,1.46875,1.0,1.0,3.46875,RGB,0.6789313354173714,1.0,1.0,114444,512,rgb_stripes.png,shannon,RGB,262144,inf,0.14453125,512
0.9971803988942642,1.0,1.0,2.9971803988942645,2.46875,2.0,2.0,6.46875,RGB,0.4039211742356513,0.5,0.5,212751,512,rgb_stripes.png,sfe,RGB,262144,inf,0.26953125,512
